"","Sample","In.reads","In.bases","Trimmed.reads","TR.percent","Trimmed.bases","TB.percent","Kept.reads","KR.percent","Kept.bases","KB.percent"
"60","Sample_E11_MM001.bbduk.stats.log:Input:",7500076,375003800,1969664,"(26.26%)",43249073,"(11.53%)",6730505,"(89.74%)",331754727,"(88.47%)"
"61","Sample_E12_MM001.bbduk.stats.log:Input:",6052442,302622100,1650743,"(27.27%)",36972667,"(12.22%)",5391724,"(89.08%)",265649433,"(87.78%)"
"62","Sample_F01_MM001.bbduk.stats.log:Input:",6869160,343458000,2014352,"(29.32%)",49711285,"(14.47%)",5963507,"(86.82%)",293746715,"(85.53%)"
"63","Sample_F02_MM001.bbduk.stats.log:Input:",11046665,552333250,2744442,"(24.84%)",58790785,"(10.64%)",10005616,"(90.58%)",493542465,"(89.36%)"
"64","Sample_F03_MM001.bbduk.stats.log:Input:",7888469,394423450,2208360,"(27.99%)",52932285,"(13.42%)",6929010,"(87.84%)",341491165,"(86.58%)"
"65","Sample_F04_MM001.bbduk.stats.log:Input:",6028337,301416850,1730084,"(28.70%)",41609760,"(13.80%)",5273886,"(87.48%)",259807090,"(86.20%)"
"66","Sample_F05_MM001.bbduk.stats.log:Input:",5322883,266144150,1501043,"(28.20%)",35403931,"(13.30%)",4683293,"(87.98%)",230740219,"(86.70%)"
"67","Sample_F06_MM001.bbduk.stats.log:Input:",5913089,295654450,1703540,"(28.81%)",42637011,"(14.42%)",5134045,"(86.83%)",253017439,"(85.58%)"
"68","Sample_F07_MM001.bbduk.stats.log:Input:",8083374,404168700,2067651,"(25.58%)",46389814,"(11.48%)",7253873,"(89.74%)",357778886,"(88.52%)"
"69","Sample_F08_MM001.bbduk.stats.log:Input:",6850205,342510250,1879054,"(27.43%)",43715795,"(12.76%)",6062741,"(88.50%)",298794455,"(87.24%)"
